"DATE ADDED TO CATALOG","PUBMEDID","FIRST AUTHOR","DATE","JOURNAL","LINK","STUDY","DISEASE/TRAIT","INITIAL SAMPLE SIZE","REPLICATION SAMPLE SIZE","REGION","CHR_ID","CHR_POS","REPORTED GENE(S)","MAPPED_GENE","UPSTREAM_GENE_ID","DOWNSTREAM_GENE_ID","SNP_GENE_IDS","UPSTREAM_GENE_DISTANCE","DOWNSTREAM_GENE_DISTANCE","STRONGEST SNP-RISK ALLELE","SNPS","MERGED","SNP_ID_CURRENT","CONTEXT","INTERGENIC","RISK ALLELE FREQUENCY","P-VALUE","PVALUE_MLOG","P-VALUE (TEXT)","OR or BETA","95% CI (TEXT)","PLATFORM [SNPS PASSING QC]","CNV","MAPPED_TRAIT","MAPPED_TRAIT_URI","STUDY ACCESSION","GENOTYPING TECHNOLOGY"
2021-12-20,32139696,"Shu X",2020-03-05,"Nat Commun","www.ncbi.nlm.nih.gov/pubmed/32139696","Identification of novel breast cancer susceptibility loci in meta-analyses conducted among Asian and European descendants.","Breast cancer","24,206 East Asian ancestry cases, 24,775 East Asian ancestry controls, 122,977 European ancestry cases, 105,974 European ancestry controls","10,829 East Asian ancestry cases, 10,996 East Asian ancestry controls, 5,958 Asian ancestry cases, 5,684 Asian ancestry controls","22q13.1","22","38962032","","APOBEC3A, APOBEC3A","","","ENSG00000128383, ENSG00000262156",NA,NA,"rs12628403-C","rs12628403",0,"12628403","intron_variant",0,"NR","3E-17",16.5228787452803,"",1.09,"[1.07-1.11]","Affymetrix, Illumina [NR] (imputed)","N","breast carcinoma","http://www.ebi.ac.uk/efo/EFO_0000305","GCST90090980","Genome-wide genotyping array"
2021-12-20,32139696,"Shu X",2020-03-05,"Nat Commun","www.ncbi.nlm.nih.gov/pubmed/32139696","Identification of novel breast cancer susceptibility loci in meta-analyses conducted among Asian and European descendants.","Breast cancer","24,206 East Asian ancestry cases, 24,775 East Asian ancestry controls, 122,977 European ancestry cases, 105,974 European ancestry controls","10,829 East Asian ancestry cases, 10,996 East Asian ancestry controls, 5,958 Asian ancestry cases, 5,684 Asian ancestry controls","1p36.22","1","10506158","","PEX14","","","ENSG00000142655",NA,NA,"rs616488-A","rs616488",0,"616488","intron_variant",0,"NR","2E-23",22.698970004336,"",1.06,"[1.05-1.07]","Affymetrix, Illumina [NR] (imputed)","N","breast carcinoma","http://www.ebi.ac.uk/efo/EFO_0000305","GCST90090980","Genome-wide genotyping array"
2021-12-20,32139696,"Shu X",2020-03-05,"Nat Commun","www.ncbi.nlm.nih.gov/pubmed/32139696","Identification of novel breast cancer susceptibility loci in meta-analyses conducted among Asian and European descendants.","Breast cancer","24,206 East Asian ancestry cases, 24,775 East Asian ancestry controls, 122,977 European ancestry cases, 105,974 European ancestry controls","10,829 East Asian ancestry cases, 10,996 East Asian ancestry controls, 5,958 Asian ancestry cases, 5,684 Asian ancestry controls","1p13.2","1","113905767","","DCLRE1B","","","ENSG00000118655",NA,NA,"rs11552449-T","rs11552449",0,"11552449","missense_variant",0,"NR","1E-9",9,"",1.04,"[1.03-1.06]","Affymetrix, Illumina [NR] (imputed)","N","breast carcinoma","http://www.ebi.ac.uk/efo/EFO_0000305","GCST90090980","Genome-wide genotyping array"
2021-12-20,32139696,"Shu X",2020-03-05,"Nat Commun","www.ncbi.nlm.nih.gov/pubmed/32139696","Identification of novel breast cancer susceptibility loci in meta-analyses conducted among Asian and European descendants.","Breast cancer","24,206 East Asian ancestry cases, 24,775 East Asian ancestry controls, 122,977 European ancestry cases, 105,974 European ancestry controls","10,829 East Asian ancestry cases, 10,996 East Asian ancestry controls, 5,958 Asian ancestry cases, 5,684 Asian ancestry controls","2p24.1","2","19121042","","LINC01376","","","ENSG00000236204",NA,NA,"rs12710696-T","rs12710696",0,"12710696","intron_variant",0,"NR","6E-11",10.2218487496164,"",1.04,"[1.03-1.05]","Affymetrix, Illumina [NR] (imputed)","N","breast carcinoma","http://www.ebi.ac.uk/efo/EFO_0000305","GCST90090980","Genome-wide genotyping array"
2021-12-20,32139696,"Shu X",2020-03-05,"Nat Commun","www.ncbi.nlm.nih.gov/pubmed/32139696","Identification of novel breast cancer susceptibility loci in meta-analyses conducted among Asian and European descendants.","Breast cancer","24,206 East Asian ancestry cases, 24,775 East Asian ancestry controls, 122,977 European ancestry cases, 105,974 European ancestry controls","10,829 East Asian ancestry cases, 10,996 East Asian ancestry controls, 5,958 Asian ancestry cases, 5,684 Asian ancestry controls","2q31.1","2","173348166","","RPS2P18 - CDCA7","ENSG00000231735","ENSG00000144354","",49654,6654,"rs1550623-A","rs1550623",0,"1550623","intron_variant",1,"NR","6E-10",9.22184874961636,"",1.05,"[1.04-1.07]","Affymetrix, Illumina [NR] (imputed)","N","breast carcinoma","http://www.ebi.ac.uk/efo/EFO_0000305","GCST90090980","Genome-wide genotyping array"
2021-12-20,32139696,"Shu X",2020-03-05,"Nat Commun","www.ncbi.nlm.nih.gov/pubmed/32139696","Identification of novel breast cancer susceptibility loci in meta-analyses conducted among Asian and European descendants.","Breast cancer","24,206 East Asian ancestry cases, 24,775 East Asian ancestry controls, 122,977 European ancestry cases, 105,974 European ancestry controls","10,829 East Asian ancestry cases, 10,996 East Asian ancestry controls, 5,958 Asian ancestry cases, 5,684 Asian ancestry controls","2q35","2","217431785","","DIRC3","","","ENSG00000231672",NA,NA,"rs16857609-T","rs16857609",0,"16857609","intron_variant",0,"NR","2E-31",30.698970004336,"",1.07,"[1.06-1.09]","Affymetrix, Illumina [NR] (imputed)","N","breast carcinoma","http://www.ebi.ac.uk/efo/EFO_0000305","GCST90090980","Genome-wide genotyping array"
2021-12-20,32139696,"Shu X",2020-03-05,"Nat Commun","www.ncbi.nlm.nih.gov/pubmed/32139696","Identification of novel breast cancer susceptibility loci in meta-analyses conducted among Asian and European descendants.","Breast cancer","24,206 East Asian ancestry cases, 24,775 East Asian ancestry controls, 122,977 European ancestry cases, 105,974 European ancestry controls","10,829 East Asian ancestry cases, 10,996 East Asian ancestry controls, 5,958 Asian ancestry cases, 5,684 Asian ancestry controls","3p24.1","3","27374522","","SLC4A7","","","ENSG00000033867",NA,NA,"rs4973768-T","rs4973768",0,"4973768","3_prime_UTR_variant",0,"NR","5E-62",61.301029995664,"",1.1,"[1.09-1.11]","Affymetrix, Illumina [NR] (imputed)","N","breast carcinoma","http://www.ebi.ac.uk/efo/EFO_0000305","GCST90090980","Genome-wide genotyping array"
2021-12-20,32139696,"Shu X",2020-03-05,"Nat Commun","www.ncbi.nlm.nih.gov/pubmed/32139696","Identification of novel breast cancer susceptibility loci in meta-analyses conducted among Asian and European descendants.","Breast cancer","24,206 East Asian ancestry cases, 24,775 East Asian ancestry controls, 122,977 European ancestry cases, 105,974 European ancestry controls","10,829 East Asian ancestry cases, 10,996 East Asian ancestry controls, 5,958 Asian ancestry cases, 5,684 Asian ancestry controls","3p24.1","3","30641447","","TGFBR2","","","ENSG00000163513",NA,NA,"rs12493607-C","rs12493607",0,"12493607","intron_variant",0,"NR","3E-16",15.5228787452803,"",1.05,"[1.04-1.06]","Affymetrix, Illumina [NR] (imputed)","N","breast carcinoma","http://www.ebi.ac.uk/efo/EFO_0000305","GCST90090980","Genome-wide genotyping array"
2021-12-20,32139696,"Shu X",2020-03-05,"Nat Commun","www.ncbi.nlm.nih.gov/pubmed/32139696","Identification of novel breast cancer susceptibility loci in meta-analyses conducted among Asian and European descendants.","Breast cancer","24,206 East Asian ancestry cases, 24,775 East Asian ancestry controls, 122,977 European ancestry cases, 105,974 European ancestry controls","10,829 East Asian ancestry cases, 10,996 East Asian ancestry controls, 5,958 Asian ancestry cases, 5,684 Asian ancestry controls","7q21.2","7","92001306","","AKAP9","","","ENSG00000127914",NA,NA,"rs6964587-T","rs6964587",0,"6964587","missense_variant",0,"NR","3E-12",11.5228787452803,"",1.04,"[1.03-1.05]","Affymetrix, Illumina [NR] (imputed)","N","breast carcinoma","http://www.ebi.ac.uk/efo/EFO_0000305","GCST90090980","Genome-wide genotyping array"
2021-12-20,32139696,"Shu X",2020-03-05,"Nat Commun","www.ncbi.nlm.nih.gov/pubmed/32139696","Identification of novel breast cancer susceptibility loci in meta-analyses conducted among Asian and European descendants.","Breast cancer","24,206 East Asian ancestry cases, 24,775 East Asian ancestry controls, 122,977 European ancestry cases, 105,974 European ancestry controls","10,829 East Asian ancestry cases, 10,996 East Asian ancestry controls, 5,958 Asian ancestry cases, 5,684 Asian ancestry controls","7q34","7","140242504","","RNU1-58P - PPP1R2P6","ENSG00000199283","ENSG00000241661","",472,50248,"rs11977670-A","rs11977670",0,"11977670","TF_binding_site_variant",1,"NR","1E-19",19,"",1.05,"[1.04-1.07]","Affymetrix, Illumina [NR] (imputed)","N","breast carcinoma","http://www.ebi.ac.uk/efo/EFO_0000305","GCST90090980","Genome-wide genotyping array"
2021-12-20,32139696,"Shu X",2020-03-05,"Nat Commun","www.ncbi.nlm.nih.gov/pubmed/32139696","Identification of novel breast cancer susceptibility loci in meta-analyses conducted among Asian and European descendants.","Breast cancer","24,206 East Asian ancestry cases, 24,775 East Asian ancestry controls, 122,977 European ancestry cases, 105,974 European ancestry controls","10,829 East Asian ancestry cases, 10,996 East Asian ancestry controls, 5,958 Asian ancestry cases, 5,684 Asian ancestry controls","8p12","8","29652100","","RPL17P33 - LINC00589","ENSG00000243844","ENSG00000251191","",19456,21822,"rs9693444-A","rs9693444",0,"9693444","intergenic_variant",1,"NR","8E-26",25.0969100130081,"",1.07,"[1.05-1.08]","Affymetrix, Illumina [NR] (imputed)","N","breast carcinoma","http://www.ebi.ac.uk/efo/EFO_0000305","GCST90090980","Genome-wide genotyping array"
2021-12-20,32139696,"Shu X",2020-03-05,"Nat Commun","www.ncbi.nlm.nih.gov/pubmed/32139696","Identification of novel breast cancer susceptibility loci in meta-analyses conducted among Asian and European descendants.","Breast cancer","24,206 East Asian ancestry cases, 24,775 East Asian ancestry controls, 122,977 European ancestry cases, 105,974 European ancestry controls","10,829 East Asian ancestry cases, 10,996 East Asian ancestry controls, 5,958 Asian ancestry cases, 5,684 Asian ancestry controls","8p11.23","8","37000965","","KCNU1 - SMARCE1P4","ENSG00000215262","ENSG00000253650","",64840,94185,"rs13365225-A","rs13365225",0,"13365225","intergenic_variant",1,"NR","1E-23",23,"",1.07,"[1.06-1.09]","Affymetrix, Illumina [NR] (imputed)","N","breast carcinoma","http://www.ebi.ac.uk/efo/EFO_0000305","GCST90090980","Genome-wide genotyping array"
2021-12-20,32139696,"Shu X",2020-03-05,"Nat Commun","www.ncbi.nlm.nih.gov/pubmed/32139696","Identification of novel breast cancer susceptibility loci in meta-analyses conducted among Asian and European descendants.","Breast cancer","24,206 East Asian ancestry cases, 24,775 East Asian ancestry controls, 122,977 European ancestry cases, 105,974 European ancestry controls","10,829 East Asian ancestry cases, 10,996 East Asian ancestry controls, 5,958 Asian ancestry cases, 5,684 Asian ancestry controls","8q21.13","8","75318066","","CASC9","","","ENSG00000249395",NA,NA,"rs6472903-T","rs6472903",0,"6472903","intron_variant",0,"NR","1E-23",23,"",1.08,"[1.07-1.1]","Affymetrix, Illumina [NR] (imputed)","N","breast carcinoma","http://www.ebi.ac.uk/efo/EFO_0000305","GCST90090980","Genome-wide genotyping array"
2021-12-20,32139696,"Shu X",2020-03-05,"Nat Commun","www.ncbi.nlm.nih.gov/pubmed/32139696","Identification of novel breast cancer susceptibility loci in meta-analyses conducted among Asian and European descendants.","Breast cancer","24,206 East Asian ancestry cases, 24,775 East Asian ancestry controls, 122,977 European ancestry cases, 105,974 European ancestry controls","10,829 East Asian ancestry cases, 10,996 East Asian ancestry controls, 5,958 Asian ancestry cases, 5,684 Asian ancestry controls","8q22.3","8","101466731","","RN7SL563P - GRHL2","ENSG00000239211","ENSG00000083307","",68798,25708,"rs514192-A","rs514192",0,"514192","intron_variant",1,"NR","1E-11",11,"",1.04,"[1.03-1.05]","Affymetrix, Illumina [NR] (imputed)","N","breast carcinoma","http://www.ebi.ac.uk/efo/EFO_0000305","GCST90090980","Genome-wide genotyping array"
2021-12-20,32139696,"Shu X",2020-03-05,"Nat Commun","www.ncbi.nlm.nih.gov/pubmed/32139696","Identification of novel breast cancer susceptibility loci in meta-analyses conducted among Asian and European descendants.","Breast cancer","24,206 East Asian ancestry cases, 24,775 East Asian ancestry controls, 122,977 European ancestry cases, 105,974 European ancestry controls","10,829 East Asian ancestry cases, 10,996 East Asian ancestry controls, 5,958 Asian ancestry cases, 5,684 Asian ancestry controls","8q23.3","8","116197325","","LINC00536","","","ENSG00000249917",NA,NA,"rs13267382-A","rs13267382",0,"13267382","intron_variant",0,"NR","2E-12",11.698970004336,"",1.04,"[1.03-1.05]","Affymetrix, Illumina [NR] (imputed)","N","breast carcinoma","http://www.ebi.ac.uk/efo/EFO_0000305","GCST90090980","Genome-wide genotyping array"
2021-12-20,32139696,"Shu X",2020-03-05,"Nat Commun","www.ncbi.nlm.nih.gov/pubmed/32139696","Identification of novel breast cancer susceptibility loci in meta-analyses conducted among Asian and European descendants.","Breast cancer","24,206 East Asian ancestry cases, 24,775 East Asian ancestry controls, 122,977 European ancestry cases, 105,974 European ancestry controls","10,829 East Asian ancestry cases, 10,996 East Asian ancestry controls, 5,958 Asian ancestry cases, 5,684 Asian ancestry controls","8q24.21","8","128182395","","PVT1","","","ENSG00000249859",NA,NA,"rs11780156-T","rs11780156",0,"11780156","intron_variant",0,"NR","2E-9",8.69897000433602,"",1.05,"[1.03-1.06]","Affymetrix, Illumina [NR] (imputed)","N","breast carcinoma","http://www.ebi.ac.uk/efo/EFO_0000305","GCST90090980","Genome-wide genotyping array"
2021-12-20,32139696,"Shu X",2020-03-05,"Nat Commun","www.ncbi.nlm.nih.gov/pubmed/32139696","Identification of novel breast cancer susceptibility loci in meta-analyses conducted among Asian and European descendants.","Breast cancer","24,206 East Asian ancestry cases, 24,775 East Asian ancestry controls, 122,977 European ancestry cases, 105,974 European ancestry controls","10,829 East Asian ancestry cases, 10,996 East Asian ancestry controls, 5,958 Asian ancestry cases, 5,684 Asian ancestry controls","9q31.2","9","107543834","","PPIAP88 - RNU6-996P","ENSG00000227350","ENSG00000202308","",218,119306,"rs10759243-A","rs10759243",0,"10759243","intergenic_variant",1,"NR","3E-21",20.5228787452803,"",1.06,"[1.05-1.07]","Affymetrix, Illumina [NR] (imputed)","N","breast carcinoma","http://www.ebi.ac.uk/efo/EFO_0000305","GCST90090980","Genome-wide genotyping array"
2021-12-20,32139696,"Shu X",2020-03-05,"Nat Commun","www.ncbi.nlm.nih.gov/pubmed/32139696","Identification of novel breast cancer susceptibility loci in meta-analyses conducted among Asian and European descendants.","Breast cancer","24,206 East Asian ancestry cases, 24,775 East Asian ancestry controls, 122,977 European ancestry cases, 105,974 European ancestry controls","10,829 East Asian ancestry cases, 10,996 East Asian ancestry controls, 5,958 Asian ancestry cases, 5,684 Asian ancestry controls","4q24","4","105163621","","TET2","","","ENSG00000168769",NA,NA,"rs9790517-T","rs9790517",0,"9790517","intron_variant",0,"NR","2E-9",8.69897000433602,"",1.04,"[1.03-1.05]","Affymetrix, Illumina [NR] (imputed)","N","breast carcinoma","http://www.ebi.ac.uk/efo/EFO_0000305","GCST90090980","Genome-wide genotyping array"
2021-12-20,32139696,"Shu X",2020-03-05,"Nat Commun","www.ncbi.nlm.nih.gov/pubmed/32139696","Identification of novel breast cancer susceptibility loci in meta-analyses conducted among Asian and European descendants.","Breast cancer","24,206 East Asian ancestry cases, 24,775 East Asian ancestry controls, 122,977 European ancestry cases, 105,974 European ancestry controls","10,829 East Asian ancestry cases, 10,996 East Asian ancestry controls, 5,958 Asian ancestry cases, 5,684 Asian ancestry controls","5p15.33","5","1279675","","TERT","","","ENSG00000164362",NA,NA,"rs10069690-T","rs10069690",0,"10069690","intron_variant",0,"NR","2E-20",19.698970004336,"",1.06,"[1.05-1.08]","Affymetrix, Illumina [NR] (imputed)","N","breast carcinoma","http://www.ebi.ac.uk/efo/EFO_0000305","GCST90090980","Genome-wide genotyping array"
2021-12-20,32139696,"Shu X",2020-03-05,"Nat Commun","www.ncbi.nlm.nih.gov/pubmed/32139696","Identification of novel breast cancer susceptibility loci in meta-analyses conducted among Asian and European descendants.","Breast cancer","24,206 East Asian ancestry cases, 24,775 East Asian ancestry controls, 122,977 European ancestry cases, 105,974 European ancestry controls","10,829 East Asian ancestry cases, 10,996 East Asian ancestry controls, 5,958 Asian ancestry cases, 5,684 Asian ancestry controls","5p15.33","5","1296141","","TERT - MIR4457","ENSG00000164362","ENSG00000263670","",1073,13169,"rs3215401-A","rs3215401",0,"3215401","intergenic_variant",1,"NR","3E-23",22.5228787452803,"",1.07,"[1.05-1.08]","Affymetrix, Illumina [NR] (imputed)","N","breast carcinoma","http://www.ebi.ac.uk/efo/EFO_0000305","GCST90090980","Genome-wide genotyping array"
2021-12-20,32139696,"Shu X",2020-03-05,"Nat Commun","www.ncbi.nlm.nih.gov/pubmed/32139696","Identification of novel breast cancer susceptibility loci in meta-analyses conducted among Asian and European descendants.","Breast cancer","24,206 East Asian ancestry cases, 24,775 East Asian ancestry controls, 122,977 European ancestry cases, 105,974 European ancestry controls","10,829 East Asian ancestry cases, 10,996 East Asian ancestry controls, 5,958 Asian ancestry cases, 5,684 Asian ancestry controls","5p13.3","5","32567626","","SUB1","","","ENSG00000113387",NA,NA,"rs2012709-T","rs2012709",0,"2012709","intron_variant",0,"NR","6E-8",7.22184874961636,"",1.03,"[1.02-1.05]","Affymetrix, Illumina [NR] (imputed)","N","breast carcinoma","http://www.ebi.ac.uk/efo/EFO_0000305","GCST90090980","Genome-wide genotyping array"
2021-12-20,32139696,"Shu X",2020-03-05,"Nat Commun","www.ncbi.nlm.nih.gov/pubmed/32139696","Identification of novel breast cancer susceptibility loci in meta-analyses conducted among Asian and European descendants.","Breast cancer","24,206 East Asian ancestry cases, 24,775 East Asian ancestry controls, 122,977 European ancestry cases, 105,974 European ancestry controls","10,829 East Asian ancestry cases, 10,996 East Asian ancestry controls, 5,958 Asian ancestry cases, 5,684 Asian ancestry controls","5q11.2","5","59041654","","PDE4D","","","ENSG00000113448",NA,NA,"rs1353747-T","rs1353747",0,"1353747","intron_variant",0,"NR","3E-9",8.52287874528034,"",1.06,"[1.04-1.09]","Affymetrix, Illumina [NR] (imputed)","N","breast carcinoma","http://www.ebi.ac.uk/efo/EFO_0000305","GCST90090980","Genome-wide genotyping array"
2021-12-20,32139696,"Shu X",2020-03-05,"Nat Commun","www.ncbi.nlm.nih.gov/pubmed/32139696","Identification of novel breast cancer susceptibility loci in meta-analyses conducted among Asian and European descendants.","Breast cancer","24,206 East Asian ancestry cases, 24,775 East Asian ancestry controls, 122,977 European ancestry cases, 105,974 European ancestry controls","10,829 East Asian ancestry cases, 10,996 East Asian ancestry controls, 5,958 Asian ancestry cases, 5,684 Asian ancestry controls","5q14.2","5","82242227","","ATG10","","","ENSG00000152348",NA,NA,"rs7707921-A","rs7707921",0,"7707921","intron_variant",0,"NR","1E-12",12,"",1.05,"[1.04-1.07]","Affymetrix, Illumina [NR] (imputed)","N","breast carcinoma","http://www.ebi.ac.uk/efo/EFO_0000305","GCST90090980","Genome-wide genotyping array"
